a,1741513758015440755,283.281,27.958,46.18
i,1741513758196042122,180.597,43.855,46.157
r,1741513758352255601,156.209,50.701,46.202
a,1741513758690216451,304.647,25.997,47.897
r,1741513758877583767,187.363,42.271,47.841
i,1741513759029582881,151.994,52.107,47.884
s,1741513759175529246,145.937,54.27,47.948
e,1741513759275353015,99.818,79.344,48.262
e,1741513759620168538,253.456,31.248,48.472
a,1741513759740602801,120.431,65.764,48.645
r,1741513759935074202,194.467,40.727,48.566
s,1741513760280325707,203.358,38.946,48.542
e,1741513760416269134,135.938,58.262,48.639
e,1741513760595246986,178.973,44.252,48.595
e,1741513761510088725,1096.453,7.223,48.563
a,1741513761751678517,241.583,32.784,48.405
r,1741513761989987771,238.305,33.235,48.253
s,1741513762185862975,195.869,40.435,48.175
e,1741513762650379402,374.972,21.122,48.303
a,1741513762778596204,128.21,61.774,48.438
r,1741513763040878197,262.278,30.197,48.256
a,1741513763445388657,299.126,26.477,48.305
r,1741513763655153005,209.759,37.758,48.2
e,1741513763805341110,150.183,52.736,48.245
s,1741513764241713209,301.497,26.269,48.129
e,1741513764420310896,178.594,44.346,48.091
e,1741513764578840673,158.525,49.96,48.11
s,1741513764690285042,111.435,71.073,48.34
r,1741513765179667606,369.339,21.444,48.245
i,1741513765320305717,140.633,56.317,48.326
s,1741513765516409442,196.097,40.388,48.247
e,1741513765680154300,163.738,48.37,48.248
e,1741513766175428445,360.035,21.998,48.087
a,1741513766311142689,135.71,58.36,48.19
s,1741513766551091945,239.944,33.008,48.038
i,1741513766700671071,149.575,52.95,48.087
e,1741513766835311852,134.634,58.826,48.194
r,1741513767000525578,165.21,47.939,48.191
s,1741513767555471314,389.652,20.326,47.909
a,1741513767705320714,149.844,52.855,47.958
